"line","section_name","section_artist","song_name","artist_name","song_id"
"I want you to bring me back to life","I'm dead inside and dying more every day","Saves the Day","1984","Saves the Day",1473453
"20 Years ago a couple kids playing guitars singing in a band still here underground hashing it out still playing shows hanging with our friends wherever we are we’re staying late we’re gonna play till we can’t stand Long Days Long Nights time and time again might come back home with two black eyes and a 10,000 yard stare 17 New Brunswick bars playing basements growing up dollar demos and matinees and malls and parking lots one year later “1:19” back in Boston at a church climb in the back of a big black van on the road we’re taking off Long Days Long Nights time and time again might come back home with a broken wing and a 10,000 yard stare 20 Years go by like pages from a calendar blowing in the wind under highway signs and flashing lights and fading stars and black nights days turn into years and seconds last longer than decades fall like sand Long Days Long Nights time and time again might come back home with two left legs and a 10,000 yard stare","20 Years ago a couple kids playing guitars singing in a band still here underground hashing it out still playing shows hanging with our friends wherever we are we’re staying late we’re gonna play till we can’t stand Long Days Long Nights time and time again might come back home with two black eyes and a 10,000 yard stare 17 New Brunswick bars playing basements growing up dollar demos and matinees and malls and parking lots one year later “1:19” back in Boston at a church climb in the back of a big black van on the road we’re taking off Long Days Long Nights time and time again might come back home with a broken wing and a 10,000 yard stare 20 Years go by like pages from a calendar blowing in the wind under highway signs and flashing lights and fading stars and black nights days turn into years and seconds last longer than decades fall like sand Long Days Long Nights time and time again might come back home with two left legs and a 10,000 yard stare","Saves the Day","1997","Saves the Day",3899814
"Heartbeat, heard it in my heartbeat","Verse","Saves the Day","29","Saves the Day",3899815
"Pounding in my head in the blue-black night","Verse","Saves the Day","29","Saves the Day",3899815
"Heartbeat, hypnotize me","Verse","Saves the Day","29","Saves the Day",3899815
"Stuck just like a song in my head","Verse","Saves the Day","29","Saves the Day",3899815
"Before the first thought I ever have","Verse","Saves the Day","29","Saves the Day",3899815
"Heartbeat, blue skies","Verse","Saves the Day","29","Saves the Day",3899815
"Heard it in your blue skies","Verse","Saves the Day","29","Saves the Day",3899815
"Singing in the air in the morning light","Verse","Saves the Day","29","Saves the Day",3899815
"Blue skies mesmerize me","Verse","Saves the Day","29","Saves the Day",3899815
"Laughing like a clock on the wall","Verse","Saves the Day","29","Saves the Day",3899815
"Before the first song I ever heard","Verse","Saves the Day","29","Saves the Day",3899815
"Blue skies, radio","Verse","Saves the Day","29","Saves the Day",3899815
"Hear it on the radio","Verse","Saves the Day","29","Saves the Day",3899815
"Playing in the car with the windows down","Verse","Saves the Day","29","Saves the Day",3899815
"Radio electrifies me","Verse","Saves the Day","29","Saves the Day",3899815
"Louder than the Liberty Bell","Verse","Saves the Day","29","Saves the Day",3899815
"Before the first word I ever said","Verse","Saves the Day","29","Saves the Day",3899815
"Radio","Verse","Saves the Day","29","Saves the Day",3899815
"Put the record on, blow the speaker up","Verse 1","Saves the Day","29","Saves the Day",3899815
"Tear the dial off, push the pedal down","Verse 1","Saves the Day","29","Saves the Day",3899815
"Ninety-nine on the one-oh-one","Verse 1","Saves the Day","29","Saves the Day",3899815
"Flip it over, come on, sing along","Verse 1","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love","Chorus","Saves the Day","29","Saves the Day",3899815
"We oughtta head home, we're gonna turn around","Verse 2","Saves the Day","29","Saves the Day",3899815
"Turn up the radio, get lost inside the sound","Verse 2","Saves the Day","29","Saves the Day",3899815
"If they're playing all our favorite songs","Verse 2","Saves the Day","29","Saves the Day",3899815
"Then we're driving all night long","Verse 2","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love","Chorus","Saves the Day","29","Saves the Day",3899815
"Gonna stay awake another thousand years","Verse 3","Saves the Day","29","Saves the Day",3899815
"You better buckle up in your electric chair","Verse 3","Saves the Day","29","Saves the Day",3899815
"Shock my nerves, send lightning to my  brain","Verse 3","Saves the Day","29","Saves the Day",3899815
"Light me up and live again","Verse 3","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love with your music (so in love)","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love","Chorus","Saves the Day","29","Saves the Day",3899815
"So in love with your music","Outro","Saves the Day","29","Saves the Day",3899815
"So in love with your music","Outro","Saves the Day","29","Saves the Day",3899815
"So in love with your music","Outro","Saves the Day","29","Saves the Day",3899815
"So in love","Outro","Saves the Day","29","Saves the Day",3899815
"We were driving in my mother's car","Verse 1","Saves the Day","29","Saves the Day",3899815
"Chicago-Minnesota overnight","Verse 1","Saves the Day","29","Saves the Day",3899815
"Over the frozen overpass over black ice","Verse 1","Saves the Day","29","Saves the Day",3899815
"Before and after","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"What if it had never happened?","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Before and after","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"No way to know what's gonna happen","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Cop shades up, hiding my eyes","Verse 2","Saves the Day","29","Saves the Day",3899815
"In La Crosse for seven nights","Verse 2","Saves the Day","29","Saves the Day",3899815
"Out of touch and out of sight","Verse 2","Saves the Day","29","Saves the Day",3899815
"Broken wing and fractured mind","Verse 2","Saves the Day","29","Saves the Day",3899815
"Before and after","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"What if it had never happened?","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Before and after","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"No way to know what's gonna happen","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Still seems strange, water, wine, and X-rays","Chorus","Saves the Day","29","Saves the Day",3899815
"White pills for pain and faces change in days","Chorus","Saves the Day","29","Saves the Day",3899815
"I saw you from above, upside down","Chorus","Saves the Day","29","Saves the Day",3899815
"There in the corner of our hotel room","Chorus","Saves the Day","29","Saves the Day",3899815
"The door was open, 432","Chorus","Saves the Day","29","Saves the Day",3899815
"Walked out on a spine three years later with you","Bridge","Saves the Day","29","Saves the Day",3899815
"Got lost in the Badlands, took a picture or two","Bridge","Saves the Day","29","Saves the Day",3899815
"Now I wish you were here to share the view","Bridge","Saves the Day","29","Saves the Day",3899815
"But you're gone","Bridge","Saves the Day","29","Saves the Day",3899815
"Before and after","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"What if it had never happened?","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Before and after","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"No way to know what's gonna happen","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Still seems strange, water, wine, and X-rays","Chorus","Saves the Day","29","Saves the Day",3899815
"White pills for pain and faces change in days","Chorus","Saves the Day","29","Saves the Day",3899815
"I saw you from above, upside down","Chorus","Saves the Day","29","Saves the Day",3899815
"There in the corner in our hotel room","Chorus","Saves the Day","29","Saves the Day",3899815
"The door was open, 432","Chorus","Saves the Day","29","Saves the Day",3899815
"Wrote you nineteen messages","Verse 1","Saves the Day","29","Saves the Day",3899815
"And I can see you didn't read them","Verse 1","Saves the Day","29","Saves the Day",3899815
"So I'll say it again","Verse 1","Saves the Day","29","Saves the Day",3899815
"Got my phone in my hand and it's 3 AM","Verse 1","Saves the Day","29","Saves the Day",3899815
"Gonna drive all night 'til the highway ends","Verse 1","Saves the Day","29","Saves the Day",3899815
"I know you'll say I'm on the edge","Verse 1","Saves the Day","29","Saves the Day",3899815
"And if you're not so wrong","Verse 1","Saves the Day","29","Saves the Day",3899815
"Could you lend a hand?","Verse 1","Saves the Day","29","Saves the Day",3899815
"Come on, come on, come on","Refrain","Saves the Day","29","Saves the Day",3899815
"Please pick up the phone","Refrain","Saves the Day","29","Saves the Day",3899815
"Tangerine pink cassette tapes","Verse 2","Saves the Day","29","Saves the Day",3899815
"And stacks of compact discs I saved","Verse 2","Saves the Day","29","Saves the Day",3899815
"Laughing and pointing, you narrow your eyes","Verse 2","Saves the Day","29","Saves the Day",3899815
"Turning all of my friends into your allies","Verse 2","Saves the Day","29","Saves the Day",3899815
"Might have been born in a crossfire hurricane","Verse 2","Saves the Day","29","Saves the Day",3899815
"But don't think twice, it wasn't yesterday","Verse 2","Saves the Day","29","Saves the Day",3899815
"Come on, come on, come on","Refrain","Saves the Day","29","Saves the Day",3899815
"Please pick up the phone","Refrain","Saves the Day","29","Saves the Day",3899815
"Come on, come on, come on","Refrain","Saves the Day","29","Saves the Day",3899815
"Please pick up the","Refrain","Saves the Day","29","Saves the Day",3899815
"Wonder if I'm ever gonna see your call","Verse 3","Saves the Day","29","Saves the Day",3899815
"But you already know I loved you all along","Verse 3","Saves the Day","29","Saves the Day",3899815
"And it's all in the past and I can't forget","Verse 3","Saves the Day","29","Saves the Day",3899815
"'Cause I still hear your voice echo in my head","Verse 3","Saves the Day","29","Saves the Day",3899815
"At your parents' house on Leap Year Day","Verse 3","Saves the Day","29","Saves the Day",3899815
"At the surprise party you planned for me","Verse 3","Saves the Day","29","Saves the Day",3899815
"We're outside walking to your door","Verse 3","Saves the Day","29","Saves the Day",3899815
"You're laughing in moonlight","Verse 3","Saves the Day","29","Saves the Day",3899815
"Come on, come on, come on","Refrain","Saves the Day","29","Saves the Day",3899815
"Please pick up the phone","Refrain","Saves the Day","29","Saves the Day",3899815
"Come on, come on, come on","Refrain","Saves the Day","29","Saves the Day",3899815
"Please pick up the phone","Refrain","Saves the Day","29","Saves the Day",3899815
"If I could take back all the things I wish I never said","Verse 1","Saves the Day","29","Saves the Day",3899815
"I wish I never felt the way I did the day you left","Verse 1","Saves the Day","29","Saves the Day",3899815
"I was a stupid kid, twenty-something","Verse 1","Saves the Day","29","Saves the Day",3899815
"Watching myself sing on TV","Verse 1","Saves the Day","29","Saves the Day",3899815
"No way to know that there's","Verse 1","Saves the Day","29","Saves the Day",3899815
"No way to know what to expect","Verse 1","Saves the Day","29","Saves the Day",3899815
"Suddenly it's as if it's almost overnight success","Verse 1","Saves the Day","29","Saves the Day",3899815
"Somehow lightning in a bottle ricochets","Verse 1","Saves the Day","29","Saves the Day",3899815
"Lights a spark underground","Verse 1","Saves the Day","29","Saves the Day",3899815
"And on the corner of Victorian & 21st","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"On Halloween, I step outside and see you standing","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"There the light is shining, smiling in your green eyes","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Like starlight through diamonds","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"When I met you, I was on my own","Chorus","Saves the Day","29","Saves the Day",3899815
"Twenty-two, living alone","Chorus","Saves the Day","29","Saves the Day",3899815
"Wasted on the cover of a magazine","Chorus","Saves the Day","29","Saves the Day",3899815
"Singing from my heart, sad love song","Chorus","Saves the Day","29","Saves the Day",3899815
"Stranger from the start, what went wrong?","Chorus","Saves the Day","29","Saves the Day",3899815
"And then there you are and it's getting better","Chorus","Saves the Day","29","Saves the Day",3899815
"Without you, I was lost forever","Chorus","Saves the Day","29","Saves the Day",3899815
"On an endless night, on an endless drive","Verse 2","Saves the Day","29","Saves the Day",3899815
"I read your words about a thousand times","Verse 2","Saves the Day","29","Saves the Day",3899815
"Saying things like there's a lazy moon outside","Verse 2","Saves the Day","29","Saves the Day",3899815
"Right now, can you see it laying on its side?","Verse 2","Saves the Day","29","Saves the Day",3899815
"I wake up way too early, stay up way too late","Verse 2","Saves the Day","29","Saves the Day",3899815
"Trying to picture your face","Verse 2","Saves the Day","29","Saves the Day",3899815
"Please send a polaroid, get it that Saturday","Verse 2","Saves the Day","29","Saves the Day",3899815
"Your yellow envelope I still have to this day","Verse 2","Saves the Day","29","Saves the Day",3899815
"I was a sideways zig-zag, upside down","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Stuck tongue-tied, crisscrossed X's","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Where my eyes once were and the light that was gone","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"Before I met you, somehow came back on","Pre-Chorus","Saves the Day","29","Saves the Day",3899815
"When I met you, I was on my own","Chorus","Saves the Day","29","Saves the Day",3899815
"Twenty-two, living alone","Chorus","Saves the Day","29","Saves the Day",3899815
"Wasted on the cover of a magazine","Chorus","Saves the Day","29","Saves the Day",3899815
"Singing from my heart, sad love song","Chorus","Saves the Day","29","Saves the Day",3899815
"Stranger from the start, what went wrong?","Chorus","Saves the Day","29","Saves the Day",3899815
"And then there you are and it's getting better","Chorus","Saves the Day","29","Saves the Day",3899815
"Without you, I was lost forever","Chorus","Saves the Day","29","Saves the Day",3899815
"Singing from my heart, sad love song","Chorus","Saves the Day","29","Saves the Day",3899815
"Stranger from the start, what went wrong?","Chorus","Saves the Day","29","Saves the Day",3899815
"And then there you are and it's getting better","Chorus","Saves the Day","29","Saves the Day",3899815
"Without you, I was lost forever","Chorus","Saves the Day","29","Saves the Day",3899815
"When I met you, I was on my own","Chorus","Saves the Day","29","Saves the Day",3899815
"Twenty-two, living alone","Chorus","Saves the Day","29","Saves the Day",3899815
"Wasted on the cover of a magazine","Chorus","Saves the Day","29","Saves the Day",3899815
"Singing from my heart, sad love song","Chorus","Saves the Day","29","Saves the Day",3899815
"Stranger from the start, what went wrong?","Chorus","Saves the Day","29","Saves the Day",3899815
"And then there you are and it's getting better","Chorus","Saves the Day","29","Saves the Day",3899815
"Without you, I was lost forever","Chorus","Saves the Day","29","Saves the Day",3899815
"Whoa-oh, whoa-oh-oh-oh","Outro","Saves the Day","29","Saves the Day",3899815
"Whoa-oh, whoa-oh-oh-oh","Outro","Saves the Day","29","Saves the Day",3899815
"Whoa-oh, whoa-oh-oh-oh","Outro","Saves the Day","29","Saves the Day",3899815
"Whoa-oh, whoa-oh-oh-oh","Outro","Saves the Day","29","Saves the Day",3899815
"Maybe someday I can show you","Verse 1","Saves the Day","29","Saves the Day",3899815
"How much you mean to me","Verse 1","Saves the Day","29","Saves the Day",3899815
"Even though I know you see","Verse 1","Saves the Day","29","Saves the Day",3899815
"My smiling eyes begin to stream","Verse 1","Saves the Day","29","Saves the Day",3899815
"A love wells up inside me","Verse 1","Saves the Day","29","Saves the Day",3899815
"Almost too much to take","Verse 1","Saves the Day","29","Saves the Day",3899815
"Sometimes I break down crying","Verse 1","Saves the Day","29","Saves the Day",3899815
"That's how much you mean to me","Verse 1","Saves the Day","29","Saves the Day",3899815
"You're the light in a heartbroken world","Chorus","Saves the Day","29","Saves the Day",3899815
"And I was a lost cause","Chorus","Saves the Day","29","Saves the Day",3899815
"Before you, I almost forgot","Chorus","Saves the Day","29","Saves the Day",3899815
"What the point was","Chorus","Saves the Day","29","Saves the Day",3899815
"In the end, if it's all just a dream","Chorus","Saves the Day","29","Saves the Day",3899815
"At least we're together","Chorus","Saves the Day","29","Saves the Day",3899815
"If I'm with you, I could stay lost forever","Chorus","Saves the Day","29","Saves the Day",3899815
"And if I were barely breathing","Verse 2","Saves the Day","29","Saves the Day",3899815
"I'd still confess my love","Verse 2","Saves the Day","29","Saves the Day",3899815
"Even when I see you clearly hope","Verse 2","Saves the Day","29","Saves the Day",3899815
"I catch on quick and stop","Verse 2","Saves the Day","29","Saves the Day",3899815
"If my zipped lips were sewn shut","Verse 2","Saves the Day","29","Saves the Day",3899815
"Collar up, I'd keep it cool","Verse 2","Saves the Day","29","Saves the Day",3899815
"The light in my heart beaming","Verse 2","Saves the Day","29","Saves the Day",3899815
"Shining brighter than the sun","Verse 2","Saves the Day","29","Saves the Day",3899815
"You're the light in a heartbroken world","Chorus","Saves the Day","29","Saves the Day",3899815
"And I was a lost cause","Chorus","Saves the Day","29","Saves the Day",3899815
"Before you, I almost forgot","Chorus","Saves the Day","29","Saves the Day",3899815
"What the point was","Chorus","Saves the Day","29","Saves the Day",3899815
"In the end, if it's all just a dream","Chorus","Saves the Day","29","Saves the Day",3899815
"At least we're together","Chorus","Saves the Day","29","Saves the Day",3899815
"If I'm with you, I could stay lost forever","Chorus","Saves the Day","29","Saves the Day",3899815
"There was a time before this","Verse 3","Saves the Day","29","Saves the Day",3899815
"Back when we were young","Verse 3","Saves the Day","29","Saves the Day",3899815
"I still remember how","Verse 3","Saves the Day","29","Saves the Day",3899815
"You brought me back to life again","Verse 3","Saves the Day","29","Saves the Day",3899815
"I looked in your blue-green eyes","Verse 3","Saves the Day","29","Saves the Day",3899815
"You're looking back at me","Verse 3","Saves the Day","29","Saves the Day",3899815
"My heart explodes in sunlight","Verse 3","Saves the Day","29","Saves the Day",3899815
"You mean everything to me","Verse 3","Saves the Day","29","Saves the Day",3899815
"You're the light in a heartbroken world","Chorus","Saves the Day","29","Saves the Day",3899815
"And I was a lost cause","Chorus","Saves the Day","29","Saves the Day",3899815
"Before you, I almost forgot","Chorus","Saves the Day","29","Saves the Day",3899815
"What the point was","Chorus","Saves the Day","29","Saves the Day",3899815
"In the end, if it's all just a dream","Chorus","Saves the Day","29","Saves the Day",3899815
"At least we're together","Chorus","Saves the Day","29","Saves the Day",3899815
"If I'm with you, I could stay lost forever","Chorus","Saves the Day","29","Saves the Day",3899815
"If I'm with you, I could stay lost forever","Outro","Saves the Day","29","Saves the Day",3899815
"If I'm with you, I could stay lost forever","Outro","Saves the Day","29","Saves the Day",3899815
"I was just a Jersey kid born in a daydream","Verse 1","Saves the Day","29","Saves the Day",3899815
"Blue skies and a white gold sun down a long driveway","Verse 1","Saves the Day","29","Saves the Day",3899815
"In an old white house, I remember my dad walk up","Verse 1","Saves the Day","29","Saves the Day",3899815
"His eyes shining like clear blue streams","Verse 1","Saves the Day","29","Saves the Day",3899815
"And when he smiled at me","Verse 1","Saves the Day","29","Saves the Day",3899815
"I knew everything would be okay","Verse 1","Saves the Day","29","Saves the Day",3899815
"Well, somehow (somehow), sometime (sometime)","Refrain","Saves the Day","29","Saves the Day",3899815
"I know it'll be all right, we are alive in the world","Refrain","Saves the Day","29","Saves the Day",3899815
"Back when you could see the Milky Way","Verse 2","Saves the Day","29","Saves the Day",3899815
"In blue starlight, in an ocean sky","Verse 2","Saves the Day","29","Saves the Day",3899815
"I could've laid there for a thousand years","Verse 2","Saves the Day","29","Saves the Day",3899815
"Connecting dots in a ring of fire","Verse 2","Saves the Day","29","Saves the Day",3899815
"Drawing circles that hang in the air","Verse 2","Saves the Day","29","Saves the Day",3899815
"Like fireworks and diamond stars","Verse 2","Saves the Day","29","Saves the Day",3899815
"In her mother's arms, her sapphire eyes","Verse 2","Saves the Day","29","Saves the Day",3899815
"Was all the love I'd ever need","Verse 2","Saves the Day","29","Saves the Day",3899815
"Well, somehow (somehow), sometime (sometime)","Refrain","Saves the Day","29","Saves the Day",3899815
"I know it'll be all right, we are alive in the world","Refrain","Saves the Day","29","Saves the Day",3899815
"Yeah, somehow (somehow), sometime (sometime)","Refrain","Saves the Day","29","Saves the Day",3899815
"I know it'll be all right, we are alive in the world","Refrain","Saves the Day","29","Saves the Day",3899815
"Alive in the world","Refrain","Saves the Day","29","Saves the Day",3899815
"How long?","How long?","Saves the Day","34","Saves the Day",1096922
"How long will I have to go on?","How long?","Saves the Day","34","Saves the Day",1096922
"When I'm with you","How long?","Saves the Day","34","Saves the Day",1096922
"Take a gun to my head, swallow it","How long?","Saves the Day","34","Saves the Day",1096922
"I hope you're on the way","How long?","Saves the Day","34","Saves the Day",1096922
"To an early grave","How long?","Saves the Day","34","Saves the Day",1096922
"Nothing left to change","How long?","Saves the Day","34","Saves the Day",1096922
"And I don't know how long I can keep talking","How long?","Saves the Day","34","Saves the Day",1096922
"Till I come over and tear off your ears","How long?","Saves the Day","34","Saves the Day",1096922
"You'd never hear","How long?","Saves the Day","34","Saves the Day",1096922
"'Cause I was gonna say","How long?","Saves the Day","34","Saves the Day",1096922
"Never meant a thing","How long?","Saves the Day","34","Saves the Day",1096922
"No one left to blame","How long?","Saves the Day","34","Saves the Day",1096922
"The stars are out tonight","How long?","Saves the Day","34","Saves the Day",1096922
"Will they fall out of the sky?","How long?","Saves the Day","34","Saves the Day",1096922
"And come crashing down","How long?","Saves the Day","34","Saves the Day",1096922
"On your house","How long?","Saves the Day","34","Saves the Day",1096922
"'Cause I was gonna say","How long?","Saves the Day","34","Saves the Day",1096922
"Never meant a thing","How long?","Saves the Day","34","Saves the Day",1096922
"No one left to blame","How long?","Saves the Day","34","Saves the Day",1096922
"I hope you're on the way","How long?","Saves the Day","34","Saves the Day",1096922
"To an early grave","How long?","Saves the Day","34","Saves the Day",1096922
"Nothing left to change","How long?","Saves the Day","34","Saves the Day",1096922
"If every limb were broken","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Tires had all worn thin","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"And my toes are all in pieces","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Do you know","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"What I would do?","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"I would play can you drag yourself","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"200 miles","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"With just your fingernails?","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"A little game that I made up","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Do you know that I never ever lose?","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"There is nothing to","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Keep me from coming back to you","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Cause I can picture all the pictures of you","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"And me on your walls","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"What would it take to make you mine forever?","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Just your fingernails","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"A little game that I made up","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Do you know, that I never ever lose?","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Could I cut out my liver","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Make a special potion","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Two parts my blood","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Three parts my heart","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Yeah, you know that I would do it in a second","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"With just my fingernails","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"A little game that I made up","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Do you know that I never ever lose?","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"With just my fingernails","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"A little game that I made up","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Do you know that I never ever lose?","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"Never lose","If every limb were broken","Saves the Day","A Drag In D Flat","Saves the Day",1078676
"She's up again, it's four a.m","She's up again, it's four a.m","Saves the Day","Ain’t No Kind Of Love","Saves the Day",894013
"He's out all night, says with his friends","She's up again, it's four a.m","Saves the Day","Ain’t No Kind Of Love","Saves the Day",894013
"She wants to ask but his push comes to shove","She's up again, it's four a.m","Saves the Day","Ain’t No Kind Of Love","Saves the Day",894013
"That ain't no kind of love","She's up again, it's four a.m","Saves the Day","Ain’t No Kind Of Love","Saves the Day",894013
"Every night it seems to come to a fight, who is right?","She's up again, it's four a.m","Saves the Day","Ain’t No Kind Of Love","Saves the Day",894013
"Black and blue and broken by all the lies, never mind","She's up again, it's four a.m","Saves the Day","Ain’t No Kind Of Love","Saves the Day",894013
